Ranking_Ref_Results: 59
Ref_Solver_Time:4516.91

    semSim    synSim  len_diff	ltl
        -1  0.666667        30	F(F((f1)|((!(f1))&((!(f2))&(!(f3))))))
        -1  0.666667        34	F(F(((f1)|((f1)&(f3)))|((!(f2))&(!(f3)))))
        -1  0.666667        41	F(F(((f1)|((f1)&(f3)))|((b1)&((!(f2))&(!(f3))))))
        -1  0.666667        57	F(F((f1)|((!(b1))&((!(b2))&((!(b3))&((f1)&((!(f2))&(!(f3)))))))))
        -1  0.333333         0	G(G(f1))
        -1  0.333333         0	G(X(f1))
        -1  0.333333        17	G(G((f1)&(!((b2)&(f3)))))
        -1  0.333333        17	G(G((f1)&(!((f1)&(f3)))))
        -1  0.333333        17	G(X((f1)&(!((b2)&(f3)))))
        -1  0.333333        17	G(X((f1)&(!((f1)&(f3)))))
        -1  0.333333        20	G(G((f1)&(!((b1)&(!(f2))))))
        -1  0.333333        20	G(G((f1)&(!((b2)&(!(f3))))))
        -1  0.333333        20	G(X((f1)&(!((b1)&(!(f2))))))
        -1  0.333333        20	G(X((f1)&(!((b2)&(!(f3))))))
        -1  0.333333        30	G(G((f1)&(!((b1)&((!(f2))&(!(f3)))))))
        -1  0.333333        30	G(X((f1)&(!((b1)&((!(f2))&(!(f3)))))))
        -1  0.333333        40	G(G((f1)&(!((!(b1))&((!(b2))&((!(b3))&(f2)))))))
        -1  0.333333        40	G(X((f1)&(!((!(b1))&((!(b2))&((!(b3))&(f2)))))))
        -1  0.333333        60	G(G((f1)&(!((!(b1))&((!(b2))&((!(b3))&((f1)&((!(f2))&(!(f3))))))))))
        -1  0.333333        60	G(X((f1)&(!((!(b1))&((!(b2))&((!(b3))&((f1)&((!(f2))&(!(f3))))))))))
Ranking_Random_Results: 0
